'sample interval','ABP'
'0.008 sec','mmHg'
151582,89.179
151583,86.519
151584,83.859
151585,81.356
151586,79.166
151587,77.601
151588,76.349
151589,75.411
151590,74.472
151591,73.533
151592,72.438
151593,71.186
151594,69.935
151595,68.840
151596,67.901
151597,67.119
151598,66.493
151599,65.867
151600,65.398
151601,64.928
151602,64.459
151603,63.990
151604,63.520
151605,63.207
151606,62.738
151607,62.425
151608,61.956
151609,61.643
151610,61.330
151611,61.017
151612,60.860
151613,60.548
151614,60.391
151615,60.078
151616,59.922
151617,59.609
151618,59.296
151619,58.827
151620,58.514
151621,58.044
151622,57.731
151623,57.262
151624,56.793
151625,56.480
151626,55.854
151627,55.385
151628,54.915
151629,54.446
151630,53.977
151631,53.507
151632,53.038
151633,52.725
151634,52.256
151635,52.099
151636,51.786
151637,51.786
151638,51.786
151639,52.099
151640,52.725
151641,53.820
151642,55.541
151643,58.201
151644,61.173
151645,63.990
151646,66.493
151647,68.370
151648,69.778
151649,71.186
151650,72.751
151651,74.628
151652,76.819
151653,79.009
151654,81.199
151655,83.390
151656,85.111
151657,86.675
151658,87.927
151659,88.866
151660,89.335
151661,89.491
151662,89.335
151663,88.553
151664,87.614
151665,86.206
151666,84.485
151667,82.295
151668,79.948
151669,77.601
151670,75.567
151671,73.846
151672,72.594
151673,71.656
151674,70.717
151675,69.778
151676,68.527
151677,67.275
151678,66.180
151679,65.241
151680,64.459
151681,63.833
151682,63.207
151683,62.738
151684,62.112
151685,61.486
151686,60.860
151687,60.391
151688,60.078
151689,59.765
151690,59.609
151691,59.296
151692,59.139
151693,58.827
151694,58.670
151695,58.514
151696,58.357
151697,58.201
151698,58.044
151699,57.731
151700,57.575
151701,57.418
151702,57.262
151703,57.106
151704,56.793
151705,56.636
151706,56.323
151707,56.167
151708,55.854
151709,55.541
151710,55.228
151711,54.759
151712,54.289
151713,53.664
151714,53.351
151715,52.881
151716,52.568
151717,52.256
151718,51.943
151719,51.630
151720,51.473
151721,51.317
151722,51.160
151723,51.317
151724,51.630
151725,52.099
151726,53.351
151727,55.541
151728,58.357
151729,61.956
151730,65.398
151731,68.370
151732,70.717
151733,72.594
151734,74.315
151735,76.349
151736,78.696
151737,81.356
151738,84.329
151739,87.145
151740,89.961
151741,92.464
151742,94.498
151743,96.375
151744,97.627
151745,98.722
151746,99.348
151747,99.661
151748,99.505
151749,99.035
151750,98.096
151751,96.688
151752,94.811
151753,92.464
151754,89.961
151755,87.301
151756,84.798
151757,82.764
151758,80.887
151759,79.635
151760,78.383
151761,77.288
151762,76.193
151763,74.941
151764,73.846
151765,72.751
151766,71.969
151767,71.186
151768,70.561
151769,69.935
151770,69.309
151771,68.683
151772,68.057
151773,67.588
151774,67.119
151775,66.649
151776,66.180
151777,65.867
151778,65.554
151779,65.085
151780,64.772
151781,64.459
151782,64.146
151783,63.833
151784,63.677
151785,63.364
151786,63.051
151787,63.051
151788,62.738
151789,62.581
151790,62.269
151791,61.956
151792,61.486
151793,61.017
151794,60.548
151795,60.078
151796,59.609
151797,59.139
151798,58.670
151799,58.201
151800,57.731
151801,57.262
151802,56.949
151803,56.636
151804,56.167
151805,55.854
151806,55.541
151807,55.228
151808,55.072
151809,55.072
151810,55.541
151811,56.636
151812,58.357
151813,60.704
151814,63.520
151815,66.336
151816,68.683
151817,70.404
151818,71.812
151819,72.751
151820,74.003
151821,75.567
151822,77.601
151823,79.791
151824,82.138
151825,84.485
151826,86.675
151827,88.396
151828,89.804
151829,91.056
151830,91.838
151831,92.308
151832,92.464
151833,92.308
151834,91.682
151835,90.900
151836,89.648
151837,87.927
151838,85.893
151839,83.703
151840,81.356
151841,79.322
151842,77.601
151843,76.349
151844,75.411
151845,74.628
151846,73.690
151847,72.751
151848,71.656
151849,70.561
151850,69.622
151851,68.683
151852,68.057
151853,67.432
151854,66.806
151855,66.336
151856,65.867
151857,65.241
151858,64.928
151859,64.459
151860,63.990
151861,63.677
151862,63.364
151863,62.894
151864,62.581
151865,62.425
151866,62.112
151867,61.799
151868,61.643
151869,61.486
151870,61.173
151871,61.017
151872,60.860
151873,60.704
151874,60.548
151875,60.235
151876,59.765
151877,59.452
151878,58.983
151879,58.514
151880,58.044
151881,57.575
151882,57.106
151883,56.636
151884,56.323
151885,56.010
151886,55.697
151887,55.541
151888,55.228
151889,54.915
151890,54.602
151891,54.289
151892,54.289
151893,54.446
151894,55.228
151895,56.636
151896,58.983
151897,62.112
151898,65.554
151899,68.840
151900,71.343
151901,73.220
151902,74.472
151903,75.724
151904,77.288
151905,79.322
151906,81.825
151907,84.641
151908,87.614
151909,90.430
151910,92.777
151911,94.967
151912,96.688
151913,98.096
151914,99.035
151915,99.817
151916,100.130
151917,99.974
151918,99.348
151919,98.096
151920,96.532
151921,94.498
151922,91.995
151923,89.335
151924,86.519
151925,84.016
151926,81.825
151927,80.104
151928,79.009
151929,78.070
151930,77.288
151931,76.349
151932,75.254
151933,74.003
151934,72.751
151935,71.656
151936,70.717
151937,69.935
151938,69.309
151939,68.683
151940,68.057
151941,67.275
151942,66.649
151943,66.023
151944,65.398
151945,64.772
151946,64.302
151947,63.833
151948,63.364
151949,63.051
151950,62.738
151951,62.425
151952,62.112
151953,61.799
151954,61.486
151955,61.330
151956,61.017
151957,60.704
151958,60.391
151959,59.922
151960,59.609
151961,58.983
151962,58.514
151963,58.044
151964,57.418
151965,56.949
151966,56.480
151967,55.854
151968,55.541
151969,54.915
151970,54.602
151971,54.133
151972,53.664
151973,53.194
151974,52.725
151975,52.412
151976,52.099
151977,52.099
151978,52.099
151979,52.568
151980,53.664
151981,55.541
